 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 3.20388691e-04  3.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.14855133e-02  2.12687931e-02  2.92758934e-01  1.72818462e-02  4.18548960e-03  2.92975024e-01  1.80756902e-02 
 3.30388691e-04  3.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.09305154e-02  2.07177350e-02  2.82273930e-01  1.67344878e-02  4.18625358e-03  2.82517951e-01  1.75025504e-02 
 3.40388691e-04  3.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.03097646e-02  2.01008532e-02  2.70538682e-01  1.61211092e-02  4.18699097e-03  2.70809818e-01  1.68603361e-02 
 3.50388691e-04  3.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.96257113e-02  1.94205575e-02  2.57599259e-01  1.54441314e-02  4.18769885e-03  2.57896316e-01  1.61515817e-02 
 3.60388691e-04  3.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.88810549e-02  1.86795570e-02  2.43506965e-01  1.47062258e-02  4.18837440e-03  2.43828875e-01  1.53790844e-02 
 3.70388691e-04  3.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.80787350e-02  1.78807530e-02  2.28317201e-01  1.39103050e-02  4.18901492e-03  2.28662607e-01  1.45458928e-02 
 3.80388691e-04  3.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.72219177e-02  1.70273209e-02  2.12090128e-01  1.30595098e-02  4.18961786e-03  2.12457736e-01  1.36552953e-02 
 3.90388691e-04  3.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.63139851e-02  1.61226069e-02  1.94889591e-01  1.21571981e-02  4.19018082e-03  1.95277896e-01  1.27108066e-02 
 4.00388691e-04  4.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.53585203e-02  1.51702033e-02  1.76783669e-01  1.12069305e-02  4.19070154e-03  1.77191180e-01  1.17161541e-02 
 4.10388691e-04  4.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.43592945e-02  1.41738481e-02  1.57843640e-01  1.02124579e-02  4.19117796e-03  1.58268717e-01  1.06752633e-02 
 4.20388691e-04  4.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.33202513e-02  1.31374940e-02  1.38144431e-01  9.17770439e-03  4.19160815e-03  1.38585418e-01  9.59224214e-03 
 4.30388691e-04  4.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.22454917e-02  1.20652113e-02  1.17763622e-01  8.10675415e-03  4.19199040e-03  1.18218767e-01  8.47136477e-03 
 4.40388691e-04  4.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.11392573e-02  1.09612517e-02  9.67818136e-02  7.00383332e-03  4.19232318e-03  9.72493241e-02  7.31705479e-03 
 4.50388691e-04  4.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  1.00059144e-02  9.82995288e-03  7.52816602e-02  5.87329499e-03  4.19260514e-03  7.57596934e-02  6.13386775e-03 
 4.60388691e-04  4.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.84993562e-03  8.67579881e-03  5.33481686e-02  4.71960050e-03  4.19283515e-03  5.38348294e-02  4.92647312e-03 
 4.70388691e-04  4.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  7.67588374e-03  7.50332597e-03  3.10677584e-02  3.54730331e-03  4.19301227e-03  3.15611400e-02  3.69963596e-03 
 4.80388691e-04  4.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.48839203e-03  6.31718013e-03  8.52850758e-03  2.36102956e-03  4.19313577e-03  9.02664388e-03  2.45819803e-03 
 4.90388691e-04  4.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.29214757e-03  5.12202462e-03 -1.41807662e-02  1.16546130e-03  4.19320516e-03 -1.36798182e-02  1.20705871e-03 
 5.00388691e-04  5.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.09187125e-03  3.92259422e-03 -3.69702993e-02 -3.46834938e-05  4.19322012e-03 -3.64685435e-02 -4.88443227e-05 
