time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
0.130642605,5.0,4.38759839,4.27404136,0.418144256,4.33590332,0.77605044,0.0972611639,0.000191759301,0.0154695563
0.131642605,5.0,4.38880103,4.27404304,0.462515397,4.33943342,0.775601002,0.0975350065,0.000183047136,0.0154685483
0.132642605,5.0,4.39016777,4.27404191,0.506003803,4.34335661,0.775748086,0.0973512243,0.000173625775,0.0154692248
0.133642605,5.0,4.39127742,4.27404381,0.549563271,4.34640964,0.775260931,0.0976604454,0.000166334467,0.0154680866
0.134642605,5.0,4.39214636,4.27404592,0.592729341,4.34872146,0.774793143,0.0980026243,0.000160839227,0.0154668271
0.135642605,5.0,4.39040146,4.27406827,0.638720044,4.34394414,0.77089511,0.101632334,0.000172064141,0.0154534665
0.136642605,5.0,4.2738826,4.27683079,0.937562625,0.0713984273,-3.45869961,0.527060845,0.0155647974,0.0138880368
0.137642605,5.0,4.27388473,4.27877432,0.926150145,0.0717366534,-3.37695107,0.800443501,0.0155635146,0.0128827097
0.138521347,5.0,4.27388706,4.28048115,0.916949117,0.0721160999,-3.30568317,1.0244104,0.0155621147,0.0120600237
0.139381927,5.0,4.27388911,4.28215227,0.908305371,0.0724510051,-3.23650941,1.22967553,0.0155608819,0.0113054694
0.140381927,5.0,4.27389193,4.28402308,0.899119134,0.072911682,-3.15677752,1.45233199,0.0155591862,0.0105166175
0.141381927,5.0,4.27389472,4.28595609,0.890376398,0.0733678042,-3.07781755,1.65867863,0.0155575072,0.00975930849
0.142381927,5.0,4.27389817,4.2878938,0.882421946,0.0739310257,-2.99951096,1.85028623,0.015555434,0.00905489179
0.143381927,5.0,4.27390129,4.2898284,0.874839344,0.0744408293,-2.92201121,2.02787165,0.0155535574,0.00840232662
0.144381927,5.0,4.27390511,4.291763,0.867962995,0.07506493,-2.84514361,2.19281957,0.0155512601,0.00779679266
0.145381927,5.0,4.27390847,4.29369367,0.861385643,0.0756148666,-2.76908965,2.34569615,0.0155492357,0.00723599616
0.146381927,5.0,4.27391261,4.29562434,0.855443045,0.0762903992,-2.69364269,2.48773946,0.0155467491,0.00671553626
0.147381927,5.0,4.27391616,4.29755054,0.849736607,0.0768692785,-2.61901806,2.61938717,0.0155446182,0.00623358833
0.148381927,5.0,4.27392055,4.29947678,0.844602796,0.0775868256,-2.54497367,2.74175096,0.015541977,0.00578622004
0.149381927,5.0,4.27392421,4.30139793,0.839650919,0.0781833683,-2.47176235,2.85515862,0.015539781,0.00537201505
0.150381927,5.0,4.2739288,4.30331915,0.835217643,0.0789335308,-2.39910279,2.96061288,0.0155370198,0.00498744575
0.151381927,5.0,4.2739325,4.30523458,0.830919484,0.0795365698,-2.32728896,3.05834755,0.0155347999,0.00463144463
0.152381927,5.0,4.27393724,4.30715014,0.827092914,0.0803101426,-2.2559966,3.1492714,0.0155319525,0.00430083339
0.153381927,5.0,4.27394091,4.30905909,0.823361028,0.0809088533,-2.18556443,3.23353794,0.0155297485,0.00399484235
0.154381927,5.0,4.27394574,4.31096823,0.820059806,0.0816970072,-2.11562161,3.31197487,0.0155268474,0.00371059485
0.155381927,5.0,4.27394933,4.31286984,0.816818343,0.0822811427,-2.046555,3.38466706,0.0155246971,0.00344757527
0.156381927,5.0,4.2739542,4.31477171,0.813971908,0.0830756006,-1.97794382,3.45237233,0.0155217729,0.00320316767
0.157381927,5.0,4.27395763,4.31666502,0.811155062,0.0836357178,-1.91022621,3.51511685,0.0155197109,0.00297707288
0.158381927,5.0,4.2739625,4.31855866,0.808702215,0.0844289147,-1.8429284,3.57359815,0.0155167913,0.00276690052
0.159381927,5.0,4.27396574,4.32044255,0.806252896,0.0849565777,-1.77654257,3.62779228,0.0155148489,0.00257253562
0.160381927,5.0,4.27397056,4.32232688,0.804140559,0.0857417946,-1.71053936,3.67834474,0.0155119586,0.00239178316
0.161381927,5.0,4.27397355,4.32420012,0.802009243,0.086229743,-1.64546724,3.72518874,0.0155101624,0.00222468468
0.162381927,5.0,4.27397829,4.32607394,0.800191392,0.0870012066,-1.58073927,3.76892489,0.0155073228,0.00206921459
0.163381927,5.0,4.273981,4.32793515,0.798335128,0.0874434773,-1.5169619,3.80944981,0.0155056946,0.00192554715
0.164381927,5.0,4.27398563,4.32979709,0.796771865,0.0881964217,-1.45348917,3.84732536,0.0155029232,0.001791804
0.165381927,5.0,4.27398803,4.33164475,0.795153415,0.0885884179,-1.39098657,3.8824169,0.0155014801,0.00166827163
0.166381927,5.0,4.27399252,4.33349333,0.793810165,0.0893191033,-1.32874846,3.91525286,0.0154987907,0.00155319992
0.167381927,5.0,4.2739946,4.33532575,0.792397252,0.0896576069,-1.26749967,3.94567188,0.0154975445,0.0014469699
0.168381927,5.0,4.27399894,4.33715935,0.791244065,0.0903632991,-1.20647496,3.97417352,0.015494947,0.0013479435
0.169381927,5.0,4.27400068,4.3389747,0.790008727,0.0906464281,-1.14645812,4.00057361,0.0154939047,0.00125658104
0.170381927,5.0,4.27400485,4.34079155,0.789019669,0.0913253409,-1.08662504,4.0253468,0.0154914058,0.00117134268
0.171381927,5.0,4.27400625,4.34258784,0.787937688,0.0915524572,-1.02781745,4.04828937,0.0154905696,0.00109275482
0.172381927,5.0,4.27401025,4.34438604,0.787090315,0.092203665,-0.969153816,4.06985453,0.0154881727,0.0010193641
0.173381927,5.0,4.2740113,4.34616116,0.786140727,0.0923752424,-0.911532119,4.08982184,0.015487541,0.000951751549
0.174381927,5.0,4.27401514,4.3479387,0.78541562,0.0929985712,-0.854015433,4.10862597,0.0154852467,0.000888540363
0.175381927,5.0,4.27401586,4.34969041,0.784580286,0.093116035,-0.797555755,4.1260322,0.0154848142,0.000830356217
0.176381927,5.0,4.27401952,4.35144517,0.783960653,0.0937119407,-0.741163341,4.14245923,0.0154826208,0.000775890464
0.177381927,5.0,4.27401992,4.35317114,0.783223882,0.0937774913,-0.685841487,4.15766009,0.0154823794,0.00072580473
0.178381927,5.0,4.27402343,4.35490096,0.782695211,0.094346934,-0.630550618,4.1720397,0.0154802834,0.000678851477
0.179381927,5.0,4.27402353,4.35659881,0.782043439,0.0943633668,-0.576342253,4.18534063,0.0154802228,0.000635720658
0.180381927,5.0,4.27402688,4.35830145,0.781593192,0.0949076879,-0.522130276,4.19795594,0.0154782193,0.00059521995
0.181381927,5.0,4.27402669,4.35996878,0.781014699,0.0948782203,-0.469011097,4.20961917,0.0154783277,0.000558060934
0.182381927,5.0,4.2740299,4.36164204,0.780632048,0.0953990292,-0.415855542,4.22071322,0.0154764107,0.000523101604
0.183381927,5.0,4.27402946,4.36327646,0.780116712,0.0953271417,-0.363801435,4.23096389,0.0154766752,0.000491069266
0.184381927,5.0,4.27403253,4.36491819,0.779792315,0.0958262156,-0.311680116,4.24074531,0.0154748383,0.000460868169
0.185381927,5.0,4.27403185,4.36651739,0.779331398,0.0957155134,-0.260667287,4.24977666,0.0154752457,0.000433236134
0.186381927,5.0,4.27403479,4.36812552,0.779057197,0.0961947119,-0.209558377,4.25842451,0.0154734819,0.000407120317
0.187381927,5.0,4.2740339,4.36968734,0.778643162,0.0960488097,-0.159563464,4.26640236,0.0154740188,0.00038326445
0.188381927,5.0,4.27403673,4.37125995,0.778412213,0.0965100057,-0.109445558,4.27407033,0.0154723213,0.000360655833
0.189381927,5.0,4.27403564,4.37278238,0.778038563,0.0963324352,-0.0604457105,4.28113699,0.0154729748,0.000340040044
0.190381927,5.0,4.27403838,4.37431776,0.777844883,0.0967774612,-0.0112978689,4.28795695,0.0154713368,0.000320442252
0.191381927,5.0,4.27403711,4.37579903,0.777506023,0.0965716028,0.0367291905,4.29423454,0.0154720945,0.000302606298
0.192381927,5.0,4.27403976,4.37729567,0.777344463,0.0970022109,0.0849274102,4.30031965,0.0154705095,0.000285593324
0.193381927,5.0,4.27403834,4.37873427,0.777035579,0.0967712444,0.132003349,4.30591295,0.0154713596,0.000270142294
0.194381927,5.0,4.27404091,4.38019095,0.776901711,0.0971890794,0.179271877,4.31136033,0.0154698217,0.000255348732
0.195381927,5.0,4.27403935,4.38158569,0.77661866,0.0969359534,0.225417731,4.31635927,0.0154707534,0.000241943993
0.196381927,5.0,4.27404186,4.38300146,0.776508681,0.0973425363,0.271775982,4.32125227,0.0154692568,0.000229056621
