Note: gnd in a subcircuit is not set to 0 automatically

Note: Compatibility modes selected: ps


Circuit: * pipeline2.0 netlist

Reducing trtol to 1 for xspice 'A' devices
Doing analysis at TEMP = 27.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
 Reference value :  3.11198e-02
 Reference value :  1.11825e-01
 Reference value :  1.65084e-01
 Reference value :  1.81305e-01
 Reference value :  2.43648e-01
 Reference value :  3.18811e-01
 Reference value :  4.09852e-01
 Reference value :  5.22398e-01
 Reference value :  5.84563e-01
 Reference value :  6.31810e-01
 Reference value :  6.87877e-01
 Reference value :  7.43459e-01
 Reference value :  8.01348e-01
 Reference value :  8.21064e-01
 Reference value :  8.38116e-01
 Reference value :  8.53685e-01
 Reference value :  8.69305e-01
 Reference value :  8.83706e-01
 Reference value :  8.97230e-01
 Reference value :  9.12749e-01
 Reference value :  9.25661e-01
 Reference value :  9.41768e-01
 Reference value :  9.57794e-01
 Reference value :  9.79813e-01
 Reference value :  9.96040e-01
 Reference value :  1.01072e+00
 Reference value :  1.02522e+00
 Reference value :  1.03982e+00
 Reference value :  1.04484e+00
 Reference value :  1.05420e+00
 Reference value :  1.07020e+00
 Reference value :  1.08638e+00
 Reference value :  1.09992e+00
 Reference value :  1.11671e+00
 Reference value :  1.13309e+00
 Reference value :  1.15403e+00
 Reference value :  1.16941e+00
 Reference value :  1.18603e+00
 Reference value :  1.20244e+00
 Reference value :  1.21859e+00
 Reference value :  1.23323e+00
 Reference value :  1.24875e+00
 Reference value :  1.26415e+00
 Reference value :  1.34356e+00
 Reference value :  1.45140e+00
 Reference value :  1.56253e+00
 Reference value :  1.65946e+00
 Reference value :  1.75252e+00
 Reference value :  1.78989e+00
 Reference value :  1.80564e+00
 Reference value :  1.82563e+00
 Reference value :  1.84076e+00
 Reference value :  1.85724e+00
 Reference value :  1.87188e+00
 Reference value :  1.88889e+00
 Reference value :  1.90406e+00
 Reference value :  1.92420e+00
 Reference value :  1.93931e+00
 Reference value :  1.95692e+00
 Reference value :  1.97268e+00
 Reference value :  1.98439e+00
 Reference value :  1.99454e+00

No. of Data Rows : 131120
Note: Simulation executed from .control section 
