 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 3.14021161e-02  3.14021161e-02  4.67212720e+00  5.00000000e+00  4.32808136e+00  3.72452359e+00  3.03999554e+00 
 3.19021161e-02  3.19021161e-02  4.68129969e+00  5.00000000e+00  4.32796428e+00  3.72712210e+00  3.04246979e+00 
 3.24021161e-02  3.24021161e-02  4.68998618e+00  5.00000000e+00  4.32775897e+00  3.73163481e+00  3.04676728e+00 
 3.29021161e-02  3.29021161e-02  4.69821245e+00  5.00000000e+00  4.32766001e+00  3.73385861e+00  3.04888586e+00 
 3.34021161e-02  3.34021161e-02  4.70600286e+00  5.00000000e+00  4.32747305e+00  3.73801250e+00  3.05284373e+00 
 3.39021161e-02  3.39021161e-02  4.71338052e+00  5.00000000e+00  4.32738999e+00  3.73990044e+00  3.05464316e+00 
 3.44021161e-02  3.44021161e-02  4.72036728e+00  5.00000000e+00  4.32721916e+00  3.74373229e+00  3.05829588e+00 
 3.49021161e-02  3.49021161e-02  4.72698387e+00  5.00000000e+00  4.32715008e+00  3.74531919e+00  3.05980899e+00 
 3.54021161e-02  3.54021161e-02  4.73324989e+00  5.00000000e+00  4.32699346e+00  3.74886200e+00  3.06318758e+00 
 3.59021161e-02  3.59021161e-02  4.73918393e+00  5.00000000e+00  4.32693669e+00  3.75017913e+00  3.06444388e+00 
 3.64021161e-02  3.64021161e-02  4.74480356e+00  5.00000000e+00  4.32679262e+00  3.75346250e+00  3.06757619e+00 
 3.69021161e-02  3.69021161e-02  4.75012545e+00  5.00000000e+00  4.32674673e+00  3.75453788e+00  3.06860221e+00 
 3.74021161e-02  3.74021161e-02  4.75516537e+00  5.00000000e+00  4.32661377e+00  3.75758835e+00  3.07151328e+00 
 3.79021161e-02  3.79021161e-02  4.75993826e+00  5.00000000e+00  4.32657748e+00  3.75844713e+00  3.07233282e+00 
 3.84021161e-02  3.84021161e-02  4.76445827e+00  5.00000000e+00  4.32645436e+00  3.76128851e+00  3.07504515e+00 
 3.89021161e-02  3.89021161e-02  4.76873880e+00  5.00000000e+00  4.32642658e+00  3.76195323e+00  3.07567961e+00 
 3.94021161e-02  3.94021161e-02  4.77279254e+00  5.00000000e+00  4.32631219e+00  3.76460688e+00  3.07821339e+00 
 3.99021161e-02  3.99021161e-02  4.77663150e+00  5.00000000e+00  4.32629195e+00  3.76509776e+00  3.07868197e+00 
 4.04021161e-02  4.04021161e-02  4.78026705e+00  5.00000000e+00  4.32618532e+00  3.76758284e+00  3.08105534e+00 
 4.09021161e-02  4.09021161e-02  4.78370999e+00  5.00000000e+00  4.32617177e+00  3.76791803e+00  3.08137529e+00 
 4.14021161e-02  4.14021161e-02  4.78697052e+00  5.00000000e+00  4.32607205e+00  3.77025172e+00  3.08360454e+00 
 4.19021161e-02  4.19021161e-02  4.79005829e+00  5.00000000e+00  4.32606443e+00  3.77044747e+00  3.08379133e+00 
 4.24021161e-02  4.24021161e-02  4.79298246e+00  5.00000000e+00  4.32597087e+00  3.77264518e+00  3.08589108e+00 
 4.29021161e-02  4.29021161e-02  4.79575171e+00  5.00000000e+00  4.32596853e+00  3.77271609e+00  3.08595860e+00 
 4.34021161e-02  4.34021161e-02  4.79837423e+00  5.00000000e+00  4.32588044e+00  3.77479164e+00  3.08794196e+00 
 4.39021161e-02  4.39021161e-02  4.80085780e+00  5.00000000e+00  4.32588279e+00  3.77475079e+00  3.08790269e+00 
 4.44021161e-02  4.44021161e-02  4.80320979e+00  5.00000000e+00  4.32579961e+00  3.77671658e+00  3.08978145e+00 
 4.49021161e-02  4.49021161e-02  4.80543716e+00  5.00000000e+00  4.32580613e+00  3.77657570e+00  3.08964656e+00 
 4.54021161e-02  4.54021161e-02  4.80754652e+00  5.00000000e+00  4.32572732e+00  3.77844284e+00  3.09143128e+00 
 4.59021161e-02  4.59021161e-02  4.80954413e+00  5.00000000e+00  4.32573756e+00  3.77821246e+00  3.09121082e+00 
 4.64021161e-02  4.64021161e-02  4.81143589e+00  5.00000000e+00  4.32566266e+00  3.77999093e+00  3.09291099e+00 
 4.69021161e-02  4.69021161e-02  4.81322742e+00  5.00000000e+00  4.32567620e+00  3.77968047e+00  3.09261396e+00 
 4.74021161e-02  4.74021161e-02  4.81492404e+00  5.00000000e+00  4.32560481e+00  3.78137921e+00  3.09423809e+00 
 4.79021161e-02  4.79021161e-02  4.81653076e+00  5.00000000e+00  4.32562129e+00  3.78099715e+00  3.09387257e+00 
 4.84021161e-02  4.84021161e-02  4.81805235e+00  5.00000000e+00  4.32555303e+00  3.78262419e+00  3.09542830e+00 
 4.89021161e-02  4.89021161e-02  4.81949333e+00  5.00000000e+00  4.32557213e+00  3.78217811e+00  3.09500154e+00 
 4.94021161e-02  4.94021161e-02  4.82085796e+00  5.00000000e+00  4.32550668e+00  3.78374063e+00  3.09649571e+00 
 4.99021161e-02  4.99021161e-02  4.82215029e+00  5.00000000e+00  4.32552811e+00  3.78323734e+00  3.09601421e+00 
 5.04021161e-02  5.04021161e-02  4.82337414e+00  5.00000000e+00  4.32546518e+00  3.78474180e+00  3.09745298e+00 
 5.07010580e-02  5.07010580e-02  4.82407456e+00  5.00000000e+00  4.32549625e+00  3.78400508e+00  3.09674825e+00 
 5.10000000e-02  5.10000000e-02  4.82475255e+00  5.00000000e+00  4.32544254e+00  3.78528914e+00  3.09797637e+00 
 5.10158955e-02  5.10158955e-02  4.82465614e+00  4.92052226e+00  4.24532623e+00  3.76033943e+00  3.07233698e+00 
 5.10476866e-02  5.10476866e-02  4.82420016e+00  4.76156679e+00  4.08515340e+00  3.71186749e+00  3.02254269e+00 
 5.11112688e-02  5.11112688e-02  4.82171462e+00  4.44365584e+00  3.76490078e+00  3.61428690e+00  2.92241222e+00 
 5.12384332e-02  5.12384332e-02  4.81050295e+00  3.80783395e+00  3.12493778e+00  3.41619505e+00  2.71976828e+00 
 5.14927620e-02  5.14927620e-02  4.76246291e+00  2.53619017e+00  1.86757851e+00  2.42459903e+00  1.74233423e+00 
 5.17463810e-02  5.17463810e-02  4.68025039e+00  1.26809508e+00  6.94228393e-01  1.27399809e+00  6.60168112e-01 
 5.20000000e-02  5.20000000e-02  4.56538397e+00  0.00000000e+00  3.93405607e-02  6.23236420e-01  1.62323723e-02 
 5.20350745e-02  5.20350745e-02  4.54740995e+00  0.00000000e+00  3.92605510e-02  6.23037585e-01  1.61591803e-02 
 5.21052236e-02  5.21052236e-02  4.51160574e+00  0.00000000e+00  3.91140465e-02  6.22651512e-01  1.60133409e-02 
 5.22455218e-02  5.22455218e-02  4.44085354e+00  0.00000000e+00  3.88246269e-02  6.21883942e-01  1.57251689e-02 
 5.25261180e-02  5.25261180e-02  4.30270626e+00  0.00000000e+00  3.82595548e-02  6.20366617e-01  1.51625750e-02 
 5.30261180e-02  5.30261180e-02  4.06723758e+00  0.00000000e+00  3.72965856e-02  6.17713238e-01  1.42039237e-02 
 5.35261180e-02  5.35261180e-02  3.84487830e+00  0.00000000e+00  3.63875644e-02  6.15067922e-01  1.32992192e-02 
 5.40261180e-02  5.40261180e-02  3.63489769e+00  0.00000000e+00  3.55294782e-02  6.12458879e-01  1.24453363e-02 
 5.45261180e-02  5.45261180e-02  3.43660584e+00  0.00000000e+00  3.47193996e-02  6.09884265e-01  1.16394417e-02 
 5.50261180e-02  5.50261180e-02  3.24935128e+00  0.00000000e+00  3.39547472e-02  6.07340261e-01  1.08788689e-02 
 5.55261180e-02  5.55261180e-02  3.07251884e+00  0.00000000e+00  3.32328984e-02  6.04823097e-01  1.01611001e-02 
 5.60261180e-02  5.60261180e-02  2.90552762e+00  0.00000000e+00  3.25515762e-02  6.02328896e-01  9.48375944e-03 
 5.65261180e-02  5.65261180e-02  2.74782909e+00  0.00000000e+00  3.19084183e-02  5.99853932e-01  8.84460359e-03 
 5.70261180e-02  5.70261180e-02  2.59890527e+00  0.00000000e+00  3.13014218e-02  5.97394315e-01  8.24151568e-03 
 5.75261180e-02  5.75261180e-02  2.45826702e+00  0.00000000e+00  3.07284531e-02  5.94946277e-01  7.67249717e-03 
 5.80261180e-02  5.80261180e-02  2.32545246e+00  0.00000000e+00  3.01877580e-02  5.92505811e-01  7.13566268e-03 
 5.85261180e-02  5.85261180e-02  2.20002543e+00  0.00000000e+00  2.96774025e-02  5.90068996e-01  6.62923237e-03 
 5.90261180e-02  5.90261180e-02  2.08157405e+00  0.00000000e+00  2.91958595e-02  5.87631582e-01  6.15152780e-03 
 5.95261180e-02  5.95261180e-02  1.96970938e+00  0.00000000e+00  2.87413681e-02  5.85189358e-01  5.70096479e-03 
 6.00261180e-02  6.00261180e-02  1.86406414e+00  0.00000000e+00  2.83126100e-02  5.82737666e-01  5.27605017e-03 
 6.05261180e-02  6.05261180e-02  1.76429148e+00  0.00000000e+00  2.79079723e-02  5.80271821e-01  4.87537503e-03 
 6.10261180e-02  6.10261180e-02  1.67006385e+00  0.00000000e+00  2.75263311e-02  5.77786542e-01  4.49761245e-03 
 6.15261180e-02  6.15261180e-02  1.58107196e+00  0.00000000e+00  2.71661979e-02  5.75276419e-01  4.14151102e-03 
 6.20261180e-02  6.20261180e-02  1.49702367e+00  0.00000000e+00  2.68266323e-02  5.72735242e-01  3.80589350e-03 
 6.25261180e-02  6.25261180e-02  1.41764312e+00  0.00000000e+00  2.65062474e-02  5.70156524e-01  3.48965067e-03 
 6.30261180e-02  6.30261180e-02  1.34266977e+00  0.00000000e+00  2.62042792e-02  5.67532684e-01  3.19174093e-03 
 6.35261180e-02  6.35261180e-02  1.27185755e+00  0.00000000e+00  2.59194199e-02  5.64855627e-01  2.91118436e-03 
 6.40261180e-02  6.40261180e-02  1.20497404e+00  0.00000000e+00  2.56510794e-02  5.62115737e-01  2.64706356e-03 
 6.45261180e-02  6.45261180e-02  1.14179971e+00  0.00000000e+00  2.53980062e-02  5.59302496e-01  2.39851792e-03 
 6.50261180e-02  6.50261180e-02  1.08212719e+00  0.00000000e+00  2.51597875e-02  5.56403202e-01  2.16474583e-03 
 6.55261180e-02  6.55261180e-02  1.02576058e+00  0.00000000e+00  2.49352031e-02  5.53403593e-01  1.94499935e-03 
 6.60261180e-02  6.60261180e-02  9.72514781e-01  0.00000000e+00  2.47240294e-02  5.50286155e-01  1.73858845e-03 
 6.65261180e-02  6.65261180e-02  9.22214875e-01  0.00000000e+00  2.45250497e-02  5.47030640e-01  1.54487625e-03 
 6.70261180e-02  6.70261180e-02  8.74695541e-01  0.00000000e+00  2.43382535e-02  5.43611718e-01  1.36328632e-03 
 6.75261180e-02  6.75261180e-02  8.29800475e-01  0.00000000e+00  2.41623944e-02  5.39999153e-01  1.19329954e-03 
 6.80261180e-02  6.80261180e-02  7.87381840e-01  0.00000000e+00  2.39977192e-02  5.36154282e-01  1.03446640e-03 
 6.85261180e-02  6.85261180e-02  7.47299734e-01  0.00000000e+00  2.38429098e-02  5.32029279e-01  8.86407744e-04 
 6.90261180e-02  6.90261180e-02  7.09421660e-01  0.00000000e+00  2.36985505e-02  5.27561350e-01  7.48836554e-04 
 6.95261180e-02  6.95261180e-02  6.73620493e-01  0.00000000e+00  2.35641357e-02  5.22250155e-01  6.23289615e-04 
 7.00261180e-02  7.00261180e-02  6.39776683e-01  0.00000000e+00  2.34397884e-02  5.16731376e-01  5.06657133e-04 
 7.05261180e-02  7.05261180e-02  6.07777813e-01  0.00000000e+00  2.33223933e-02  5.10501183e-01  4.00550817e-04 
 7.10261180e-02  7.10261180e-02  5.77515146e-01  0.00000000e+00  2.32173704e-02  5.03338264e-01  3.05434203e-04 
 7.15261180e-02  7.15261180e-02  5.48884168e-01  0.00000000e+00  2.31179185e-02  4.94950569e-01  2.22079513e-04 
 7.20261180e-02  7.20261180e-02  5.21783743e-01  0.00000000e+00  2.30337292e-02  4.84943365e-01  1.51695659e-04 
 7.25261180e-02  7.25261180e-02  4.96115393e-01  0.00000000e+00  2.29511725e-02  4.72878886e-01  9.56797209e-05 
 7.30261180e-02  7.30261180e-02  4.71783345e-01  0.00000000e+00  2.28900476e-02  4.58413971e-01  5.50503459e-05 
 7.35261180e-02  7.35261180e-02  4.48696318e-01  0.00000000e+00  2.28098939e-02  4.41656144e-01  2.89889353e-05 
 7.40261180e-02  7.40261180e-02  4.26770927e-01  0.00000000e+00  2.27680590e-02  4.23281990e-01  1.43661971e-05 
 7.45261180e-02  7.45261180e-02  4.05934301e-01  0.00000000e+00  2.26139646e-02  4.04256598e-01  6.90817673e-06 
 7.50261180e-02  7.50261180e-02  3.86123703e-01  0.00000000e+00  2.25932717e-02  3.85313050e-01  3.33796901e-06 
 7.55261180e-02  7.55261180e-02  3.67284089e-01  0.00000000e+00  2.21239608e-02  3.66892833e-01  1.61104156e-06 
 7.60261180e-02  7.60261180e-02  3.49365688e-01  0.00000000e+00  2.21574326e-02  3.49170267e-01  8.04658098e-07 
 7.65261180e-02  7.65261180e-02  3.32322422e-01  0.00000000e+00  2.08896386e-02  3.32228842e-01  3.85316313e-07 
 7.70261180e-02  7.70261180e-02  3.16111069e-01  0.00000000e+00  2.07548364e-02  3.16064206e-01  1.92952472e-07 
 7.75261180e-02  7.75261180e-02  3.00690779e-01  0.00000000e+00  1.85690027e-02  3.00671456e-01  7.95532947e-08 
 7.80261180e-02  7.80261180e-02  2.86022841e-01  0.00000000e+00  1.71271833e-02  2.86015455e-01  3.04024093e-08 
 7.85261180e-02  7.85261180e-02  2.72070483e-01  0.00000000e+00  1.44552769e-02  2.72071254e-01 -3.18372817e-09 
 7.90261180e-02  7.90261180e-02  2.58798767e-01  0.00000000e+00  1.13795271e-02  2.58802221e-01 -1.42286961e-08 
 7.95261180e-02  7.95261180e-02  2.46174473e-01  0.00000000e+00  7.76148844e-03  2.46180827e-01 -2.61697899e-08 
 8.00261180e-02  8.00261180e-02  2.34166007e-01  0.00000000e+00  3.68274185e-03  2.34172244e-01 -2.56839448e-08 
 8.05261180e-02  8.05261180e-02  2.22743324e-01  0.00000000e+00 -7.60176984e-04  2.22750908e-01 -3.12250773e-08 
 8.10261180e-02  8.10261180e-02  2.11877847e-01  0.00000000e+00 -5.47699843e-03  2.11884459e-01 -2.72213532e-08 
 8.15261180e-02  8.15261180e-02  2.01542393e-01  0.00000000e+00 -1.03705887e-02  2.01549991e-01 -3.12752606e-08 
 8.20261180e-02  8.20261180e-02  1.91711107e-01  0.00000000e+00 -1.53735728e-02  1.91717441e-01 -2.60704838e-08 
 8.25261180e-02  8.25261180e-02  1.82359394e-01  0.00000000e+00 -2.04224311e-02  1.82366429e-01 -2.89527982e-08 
 8.30261180e-02  8.30261180e-02  1.73463859e-01  0.00000000e+00 -2.54612798e-02  1.73469596e-01 -2.36005737e-08 
 8.35261180e-02  8.35261180e-02  1.65002251e-01  0.00000000e+00 -3.04406368e-02  1.65008673e-01 -2.64208439e-08 
 8.40261180e-02  8.40261180e-02  1.56953403e-01  0.00000000e+00 -3.53298769e-02  1.56958539e-01 -2.11238066e-08 
 8.45261180e-02  8.45261180e-02  1.49297178e-01  0.00000000e+00 -4.00991188e-02  1.49303014e-01 -2.39983604e-08 
 8.50261180e-02  8.50261180e-02  1.42014427e-01  0.00000000e+00 -4.47333008e-02  1.42019006e-01 -1.88198836e-08 
 8.55261180e-02  8.55261180e-02  1.35086929e-01  0.00000000e+00 -4.92149456e-02  1.35092229e-01 -2.17811558e-08 
 8.60261180e-02  8.60261180e-02  1.28497356e-01  0.00000000e+00 -5.35387606e-02  1.28501432e-01 -1.67345227e-08 
 8.65261180e-02  8.65261180e-02  1.22229224e-01  0.00000000e+00 -5.76950137e-02  1.22234043e-01 -1.97851771e-08 
 8.70261180e-02  8.70261180e-02  1.16266854e-01  0.00000000e+00 -6.16844567e-02  1.16270479e-01 -1.48662060e-08 
 8.75261180e-02  8.75261180e-02  1.10595328e-01  0.00000000e+00 -6.55021252e-02  1.10599716e-01 -1.79988920e-08 
 8.80261180e-02  8.80261180e-02  1.05200462e-01  0.00000000e+00 -6.91524469e-02  1.05203685e-01 -1.31979525e-08 
 8.85261180e-02  8.85261180e-02  1.00068758e-01  0.00000000e+00 -7.26333416e-02  1.00072762e-01 -1.64026087e-08 
 8.90261180e-02  8.90261180e-02  9.51873796e-02  0.00000000e+00 -7.59514193e-02  9.51902456e-02 -1.17090489e-08 
 8.95261180e-02  8.95261180e-02  9.05441162e-02  0.00000000e+00 -7.91062929e-02  9.05477776e-02 -1.49755609e-08 
 9.00261180e-02  9.00261180e-02  8.61273523e-02  0.00000000e+00 -8.21058097e-02  8.61298996e-02 -1.03792714e-08 
 9.05261180e-02  9.05261180e-02  8.19260392e-02  0.00000000e+00 -8.49505323e-02  8.19293949e-02 -1.36983630e-08 
 9.10261180e-02  9.10261180e-02  7.79296672e-02  0.00000000e+00 -8.76489505e-02  7.79319304e-02 -9.19025091e-09 
 9.15261180e-02  9.15261180e-02  7.41282392e-02  0.00000000e+00 -9.02021010e-02  7.41313217e-02 -1.25537049e-08 
 9.20261180e-02  9.20261180e-02  7.05122458e-02  0.00000000e+00 -9.26187480e-02  7.05142554e-02 -8.12575850e-09 
 9.25261180e-02  9.25261180e-02  6.70726415e-02  0.00000000e+00 -9.49001080e-02  6.70754795e-02 -1.15263922e-08 
